n,k,p,Analítico,Estocástico
10,5,0.05,6.368983144531251e-05,9e-05
10,10,0.05,9.765625000000005e-14,0.0
10,1,0.1,0.6513215599,0.65035
10,5,0.1,0.0016349374000000007,0.00152
10,10,0.1,1.0000000000000006e-10,0.0
10,1,0.15000000000000002,0.8031255956592774,0.80441
10,5,0.15000000000000002,0.009874090998632817,0.01007
10,10,0.15000000000000002,5.766503906250008e-09,0.0
10,1,0.2,0.8926258175999999,0.89098
10,5,0.2,0.03279349760000002,0.03358
10,10,0.2,1.0240000000000006e-07,0.0
10,1,0.25,0.9436864852905273,0.94316
10,5,0.25,0.07812690734863281,0.07931
10,10,0.25,9.5367431640625e-07,0.0
10,1,0.30000000000000004,0.9717524751000001,0.97165
10,5,0.30000000000000004,0.15026833260000008,0.15173
10,10,0.30000000000000004,5.9049000000000085e-06,1e-05
10,1,0.35000000000000003,0.9865372566553711,0.98638
10,5,0.35000000000000003,0.24850449088144527,0.25131
10,10,0.35000000000000003,2.7585473535156275e-05,1e-05
10,1,0.4,0.9939533824,0.99436
10,5,0.4,0.36689674240000014,0.36544
10,10,0.4,0.00010485760000000006,8e-05
10,1,0.45,0.9974670483788086,0.99721
10,5,0.45,0.4955954083470705,0.49582
10,10,0.45,0.00034050628916015635,0.0003
10,1,0.5,0.9990234375,0.99887
10,5,0.5,0.623046875,0.62653
10,10,0.5,0.0009765625,0.00101
10,1,0.55,0.9996594937108398,0.99955
10,5,0.55,0.7384372992455078,0.73734
10,10,0.55,0.0025329516211914085,0.00251
10,1,0.6000000000000001,0.9998951424,0.99983
10,5,0.6000000000000001,0.8337613824000003,0.8335
10,10,0.6000000000000001,0.006046617600000009,0.00631
10,1,0.65,0.9999724145264648,0.99998
10,5,0.65,0.9050659198267579,0.90665
10,10,0.65,0.013462743344628911,0.01399
10,1,0.7000000000000001,0.9999940951,0.99999
10,5,0.7000000000000001,0.9526510126,0.95221
10,10,0.7000000000000001,0.028247524900000025,0.02869
10,1,0.75,0.9999990463256836,1.0
10,5,0.75,0.9802722930908203,0.98084
10,10,0.75,0.056313514709472656,0.05776
10,1,0.8,0.9999998976,1.0
10,5,0.8,0.9936306176,0.99369
10,10,0.8,0.10737418240000006,0.10754
10,1,0.8500000000000001,0.9999999942334961,1.0
10,5,0.8500000000000001,0.9986167647876953,0.99861
10,10,0.8500000000000001,0.19687440434072287,0.19753
10,1,0.9,0.9999999999,1.0
10,5,0.9,0.9998530974,0.99992
10,10,0.9,0.3486784401000001,0.35007
10,1,0.9500000000000001,0.9999999999999023,1.0
10,5,0.9500000000000001,0.9999972454173829,1.0
10,10,0.9500000000000001,0.5987369392383793,0.60015
10,1,1.0,1.0,1.0
10,5,1.0,1.0,1.0
10,10,1.0,1.0,1.0
